task,family,model,input,label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_per_seed
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,2,0.3469801462904911,0.12391507073870014,0.23684210526315788,0.1147078669352809,0.2805733238569059,0.12085238051108353,38
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,3,0.462270251205079,0.007597640620612908,0.5522388059701492,0.03948882553827745,0.5029923213052269,0.0202805542633721,67
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,4,0.3221899224806202,0.03734314967868944,0.3148148148148148,0.016037507477489565,0.31695209729461404,0.011392242839557032,36
intensity_5,tfidf,tfidf_word_linearsvc_raw,raw,5,0.6196581196581197,0.10441702327239845,0.36507936507936506,0.0727392967453308,0.45394806571277163,0.067335303278913,21
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0.660904255319149,0.013171682586971269,0.7845528455284553,0.03920183236175998,0.7172229130582819,0.021281049068743108,82
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2,0.31835448502115166,0.09094195193062607,0.21052631578947367,0.06962503450169978,0.25304487179487184,0.07892868179353241,38
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,3,0.3696030348759222,0.05245765665674678,0.37810945273631846,0.06730223511675963,0.373628577327391,0.059484663736983585,67
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,4,0.18344009197667735,0.04265257947442775,0.20370370370370372,0.042431256434776306,0.19273689273689273,0.041909214732207795,36
intensity_5,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,5,0.6117216117216118,0.09986304674150617,0.38095238095238093,0.08247860988423227,0.46911128087598675,0.09165652172844753,21
intensity_5,tfidf,tfidf_word_logreg_raw,raw,1,0.7182035034857616,0.019270255858124356,0.8170731707317073,0.0,0.7643632494889232,0.010941481388921457,82
intensity_5,tfidf,tfidf_word_logreg_raw,raw,2,0.38073038073038074,0.04557889471969687,0.28947368421052627,0.06962503450169973,0.32792975803539187,0.060222750675102264,38
intensity_5,tfidf,tfidf_word_logreg_raw,raw,3,0.4323076923076923,0.030412461544990246,0.4676616915422886,0.03756136534960574,0.4486177952423703,0.026858882408357418,67
intensity_5,tfidf,tfidf_word_logreg_raw,raw,4,0.2744765138653084,0.05768332997526723,0.25,0.02777777777777779,0.2611267984402313,0.04165917737994765,36
intensity_5,tfidf,tfidf_word_logreg_raw,raw,5,0.44001417685628214,0.017180301241348766,0.3333333333333333,0.08247860988423224,0.37425213675213675,0.053724233665338565,21
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0.6416380297823596,0.030093918429176122,0.7642276422764228,0.03920183236176,0.6975349049920639,0.03327075310020947,82
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2,0.27250957854406127,0.06256739881135755,0.1929824561403509,0.05478068419647717,0.22567312321765862,0.058924419561000564,38
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,3,0.32266224326774995,0.03330517261372509,0.31343283582089554,0.014925373134328367,0.3177895245992261,0.02334893360901131,67
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,4,0.19503955174686882,0.062215639834552056,0.21296296296296294,0.06990587440065509,0.20349909643348718,0.06550346130567898,36
intensity_5,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,5,0.4871794871794872,0.022205779584216365,0.34920634920634913,0.07273929674533078,0.40482654600301665,0.054459289756364465,21
