n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,task,family,model,input,seed,evaluation_unit
395,0.6177215189873417,0.6180766441467231,0.6035683974836258,0.6185473613668523,0.3815261460612408,0.438944900964647,0.5120976531279517,0.41265822784810124,intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
395,0.610126582278481,0.6138085423107752,0.5950712865037421,0.6110496171510853,0.3739901822560229,0.41789115353126205,0.47337786073372656,0.43291139240506327,intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.6481012658227848,0.6149036222756594,0.6199083805264768,0.6421954335885878,0.4009535863137452,0.45054325350577096,0.5174418604651163,0.37468354430379747,intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.6303797468354431,0.5957170120996984,0.6037023137153569,0.6251270145045731,0.3680761771183747,0.4357303009375325,0.5274803658600014,0.3822784810126582,intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.6430379746835443,0.5928096492232527,0.6031972178683693,0.6358094497707695,0.3847827767897579,0.4212592769930572,0.4712102074619754,0.38734177215189874,intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.6075949367088608,0.5684003206229246,0.5738694428803077,0.6048120934827398,0.3370689188457582,0.3721474981641739,0.4190881890562401,0.43291139240506327,intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
395,0.6,0.5644371922592465,0.569731040564374,0.5966522670953051,0.32284489773775293,0.3776511937946915,0.4511454324562233,0.4278481012658228,intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
395,0.6075949367088608,0.5691320279399977,0.576674230272976,0.604954147718872,0.33505294596796087,0.3766050633620649,0.4324174501637503,0.4278481012658228,intensity_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.6177215189873417,0.6185033779915264,0.6026250944883372,0.6174462390772946,0.38091629992526777,0.43471962861481006,0.5033287890619831,0.4151898734177215,intensity_3,tfidf,tfidf_word_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.6227848101265823,0.6226699492347036,0.6099729520813041,0.6227223812967742,0.38638377730282025,0.44827071235933347,0.5275908838837702,0.40253164556962023,intensity_3,tfidf,tfidf_word_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.620253164556962,0.6147631588991946,0.6025609062258277,0.6183125907163286,0.3781029252778857,0.4358894753182242,0.5104599110111812,0.40759493670886077,intensity_3,tfidf,tfidf_word_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.620253164556962,0.611836329630902,0.603293172690763,0.6206692084794876,0.3787549935516342,0.4295801475995146,0.4951411008094785,0.41265822784810124,intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
395,0.6,0.5953532577579297,0.5840502878223485,0.6011003177022082,0.35020719238698117,0.4112954131014167,0.4894736842105263,0.43037974683544306,intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
395,0.6,0.5940116034963167,0.5816016253391108,0.6005209637694133,0.35020719238698117,0.3974435404685088,0.45789473684210524,0.44050632911392407,intensity_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.6658227848101266,0.6953738692316499,0.6692781161857223,0.66564417792375,0.4701273361043079,0.5552517291298055,0.66157253739679,0.3367088607594937,intensity_3,transformer,bertimbau_weighted,raw,7,all OOF predictions pooled once per item within seed
395,0.6632911392405063,0.6983823810069086,0.6694301290573182,0.6630267206632496,0.46998587570621464,0.5564921571256201,0.6638129568438971,0.3392405063291139,intensity_3,transformer,bertimbau_weighted,raw,42,all OOF predictions pooled once per item within seed
395,0.6481012658227848,0.7082617657162488,0.6543816944536184,0.6436214549940258,0.4640748079532254,0.5489391265461921,0.6507556372706886,0.3620253164556962,intensity_3,transformer,bertimbau_weighted,raw,2026,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,1.4918032786885247,intensity_5,baseline,majority_baseline,none,7,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,1.4918032786885247,intensity_5,baseline,majority_baseline,none,42,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,1.4918032786885247,intensity_5,baseline,majority_baseline,none,2026,all OOF predictions pooled once per item within seed
244,0.26639344262295084,0.21837756325043892,0.21687190202375609,0.26517991377959743,0.032732426806041603,0.02772195834855684,0.04129646331868497,1.430327868852459,intensity_5,baseline,stratified_random_baseline,none,7,all OOF predictions pooled once per item within seed
244,0.2786885245901639,0.21950343642141396,0.21903484551315242,0.2772413131021425,0.04649407167280961,0.059190746138486405,0.07746913580246906,1.3770491803278688,intensity_5,baseline,stratified_random_baseline,none,42,all OOF predictions pooled once per item within seed
